CODE,SYMBOL
194770945,PFCL41A-NE
194766081,PFCL36-N7
194766593,PFCL36B-N9
194766337,PFCL36A-N8
3660545,PFC
2905857,PETRONET
4701441,PERSISTENT
194078977,PERFECT-SZ
4385793,PENTAGON-SM
577537,PENINLAND
5278977,PENIND
6504449,PELATRO-SM
668161,PEARLPOLY
1347585,PDSL
3936513,PDMJEPAPER
6568193,PCPL27-N0
7455745,PCJEWELLER
7487233,PCHF230125-N0
6218241,PCCL-SM
678145,PCBL
1716481,PAYTM
4145153,PAVNAIND
194552065,PAUSHAKLTD
3875073,PATTECH-SM
3896065,PATINTLOG
193782529,PATILAUTOM-SM
194416385,PATELRMART
2994945,PATELENG
4359425,PATANJALI
1547521,PASUPTAC
194036481,PASHUPATI
665345,PARTYCRUS-SM
194104321,PARTH-ST
3530497,PARSVNATH
5798145,PARKHOTELS
194649857,PARKHOSPS
1397761,PARIN-SM
2297601,PARASPETRO-BE
